event_id,start_time,end_time,duration_minutes,min_margin_level,min_margin_time,max_used_margin,min_free_margin,max_floating_loss,worst_threshold_crossed,thresholds_crossed,largest_used_margin_contributor,largest_used_margin_contribution_pct,EURUSD_open_positions_at_min,GBPUSD_open_positions_at_min,USDCHF_open_positions_at_min
evt_1758193200_180,2025-09-18 11:00:00,2025-09-18 12:30:00,90,264.7,2025-09-18 12:30:00,10987.3,18095.19,-989.14,300.0,300,GBPUSD,51.57,1,2,3
evt_1760436000_181,2025-10-14 10:00:00,2025-10-14 10:00:00,0,275.99,2025-10-14 10:00:00,10876.93,19142.31,-2385.15,300.0,300,EURUSD,61.68,3,1,1
evt_1760484600_182,2025-10-14 23:30:00,2025-10-15 04:15:00,285,284.74,2025-10-15 01:45:00,10918.83,20144.93,-1438.14,300.0,300,EURUSD,61.72,3,1,1
evt_1762369200_183,2025-11-05 19:00:00,2025-11-06 15:45:00,1245,246.63,2025-11-05 19:30:00,12310.15,18009.19,-3844.51,300.0,300,GBPUSD,50.43,1,2,3
evt_1762740000_184,2025-11-10 02:00:00,2025-11-11 15:30:00,2250,262.41,2025-11-10 08:45:00,12319.11,19979.22,-1839.4,300.0,300,GBPUSD,50.74,1,2,3
evt_1763067304_185,2025-11-13 20:55:04,2025-11-17 21:45:00,5809,235.55,2025-11-14 14:45:00,13456.43,18231.96,-2553.71,300.0,300,GBPUSD,46.54,2,2,2
evt_1763422539_186,2025-11-17 23:35:39,2025-11-18 05:00:00,324,274.18,2025-11-18 04:30:00,12220.35,21283.94,-805.27,300.0,300,GBPUSD,51.13,2,2,1
evt_1763458803_187,2025-11-18 09:40:03,2025-11-18 10:30:00,49,273.35,2025-11-18 10:00:00,12230.97,21202.65,-898.46,300.0,300,GBPUSD,51.16,2,2,1
evt_1763474701_188,2025-11-18 14:05:01,2025-11-18 15:15:00,69,273.04,2025-11-18 15:15:00,12242.62,21182.99,-931.94,300.0,300,GBPUSD,51.01,2,2,1
evt_1763484000_189,2025-11-18 16:40:00,2025-11-18 17:15:00,35,272.9,2025-11-18 17:00:00,12257.09,21179.58,-953.18,300.0,300,GBPUSD,51.02,2,2,1
evt_1763497801_190,2025-11-18 20:30:01,2025-11-18 20:45:00,14,276.03,2025-11-18 20:30:01,12244.81,21554.88,-607.86,300.0,300,GBPUSD,51.03,2,2,1
